Name,Description,Application url
Evidence for Action: Investigator-Initiated Research to Build a Culture of Health,"Purpose
Evidence for Action (E4A), a national program of the Robert Wood Johnson Foundation (RWJF), funds research that expands the evidence needed to build a Culture of Health. A Culture of Health is broadly defined as one in which good health and well-being flourish across geographic, demographic, and social sectors; public and private decision-making is guided by the goal of fostering equitable communities; and everyone has the opportunity to make choices that lead to healthy lifestyles. RWJF's Culture of Health Action Framework, which was developed to catalyze a national movement toward improved health, well-being, and equity, guides E4A's program strategy.

B ACK G RO U ND A ND P U RP O SE 

Evidence for Action (E4A), a national program of the Robert Wood Johnson Foundation (RWJF), funds research that expands the evidence needed to build a Culture of Health. A Culture of Health is broadly defined as one in which good health and well-being flourish across geographic, demographic, and social sectors; public and private decisionmaking is guided by the goal of fostering equitable communities; and everyone has the opportunity to make choices that lead to healthy lifestyles. RWJF's Culture of Health Action Framework, which was developed to catalyze a national movement toward improved health, well-being, and equity, guides E4A's program strategy. Visit rwjf.org/cultureofhealth to learn more about the Action Framework and RWJF's vision for building a Culture of Health.

E4A's mission is to support rigorously designed quantitative, qualitative, and mixed-methods research that yields convincing findings about the population health, well-being, and equity impacts of specific policies, programs and practices. We primarily target research that directly tests the impacts of interventions on health outcomes. Evidence generated through 

E4A should be useful to practitioners and policymakers in making decisions, setting priorities, and allocating resources. Accordingly, projects we fund should yield findings that are generalizable to other sites and/or populations. We are especially interested in research examining the health impacts of program or policy interventions that address factors outside the domain of health care services or public health practice.

P RO GRA M FI T 
E4A is an investigator-initiated research funding program, and as such does not pose a specific set of research questions, topics, or categories for funding. This call for proposals (CFP) offers guidance and clarification about the types of projects that are likely to be a good fit with the program's general goals and objectives. Research examples highlighted in this CFP are intended to provide context and stimulate thinking, not serve as rigid guidelines or restrictions. Investigators are encouraged to submit innovative proposals using any appropriate combination of research designs and methods.

APP RO A CHE S AND OUTCO M E S 
E4A focuses on funding research that establishes evidence of causal relationships between an intervention and population health and well-being outcomes. Interventions are defined broadly to include programs, policies, and practices; and we consider health and well-being to be represented by a wide range of physical, mental, and emotional measures. Except in specific instances described later in this CFP, studies funded by E4A must include measures of health outcomes or of behaviors or other factors that are well-established determinants of health. We are most interested in population health effects, while also differentiating outcomes among subgroups within the population, so that possible unintended consequences of interventions for disadvantaged groups are not masked by population mean effects.

E4A proposals should be designed to answer a clearly articulated, testable research question. A variety of research designs and methods may be suitable to address such questions, including experimental and quasi-experimental designs in which adequate control or comparison groups can be identified or established. Mixed methods may be appropriate to help explain mechanisms or provide context for findings. In limited cases, purely qualitative approaches may be considered for funding. E4A is particularly interested in building evidence on interventions that have immediate relevance in current social, policy, or cultural contexts, and as a rolling submission program can rapidly respond to time-sensitive funding requests. We encourage studies that take advantage of natural experiments, which involve changes in large-scale programs, policies, or practices and can sometimes provide unique opportunities to establish causation. We are also willing to consider research conducted outside the United States that demonstrates clear relevance or applicability to building a Culture of Health in the United States. Applicant organizations must be based in the United States or its territories, however; submissions from teams that include both U.S. and international members are eligible, but the lead applicant must be based in the United States.

As a research funding program, E4A does not fund the costs of program implementation or operations. Also, in line with E4A's focus on evaluating interventions, we do not fund descriptive or exploratory science, literature reviews, needs assessments, or validation of screening tools.
Below we describe general areas of interest that align with the Culture of Health Action Framework's four Action Areas, which guide E4A's funding strategy:
  Making Health a Shared Value (Action Area 1). We are interested in the extent to which social norms and values can be changed through interventions to result in better health, well-being, and equity outcomes. RWJF's vision of health as a shared value reflects the importance of establishing a population health mindset;
strengthening people's connectedness to their communities in ways that spur collective action; and civic engagement to bring about changes to society that enable populations to thrive. While we typically require that research projects examine health as a primary outcome, consideration will be given to projects that measure changes in these ""drivers"" of shared values as primary outcomes with health measures as secondary outcomes.
To learn more about the type of research that is most relevant to Making Health a Shared Value, visit www.evidenceforaction.org/mhsv.
  Fostering Cross-Sector Collaboration (Action Area 2). There is insufficient evidence on the effectiveness of partnerships to improve population health, and specifically on the role that collaboration plays in achieving positive and sustainable outcomes. Empirical studies on the impacts on health outcomes resulting from collaboration across sectors could be used to inform the establishment of future networks and partnerships that address community health challenges.
  Creating Healthier, More Equitable Communities (Action Area 3). We have limited knowledge about how community-level programs and policies impact population health and equity. Research across multiple settings is needed to determine the characteristics of programs or policies that yield the greatest health impacts, and whether health benefits offset the cost of investments.
  Strengthening Integration of Health Services and Systems (Action Area 4). We need evidence on how health care systems can effectively work with nonhealth care systems or organizations, such as those providing supportive housing, healthy food access, or early childhood education. Few studies have rigorously connected strategies for integrating health care and nonhealth care organizations to individual and community health outcomes, or evaluated their return on investment.
In addition to aligning with one or more of the Action Areas, we are generally interested in research that will help inform efforts to:
  Improve health outcomes and reduce inequities. We support research that will provide evidence of what works to improve outcomes and reduce inequities, rather than research that only describes the existence or magnitude of inequities. E4A proposals should consider the equity implications of the proposed research and, when appropriate, be able to disaggregate effects among subgroups to determine if there are distinct benefits or costs for vulnerable populations.
  Establish generalizable best practices. More evidence is needed on how programs and policies can be structured to maximize returns. For example, are global or targeted interventions more effective, and what are the relative advantages to directing policies at a whole population versus individuals or subgroups at greatest risk? Are there certain life stages during which investments produce disproportionately large long-term benefits?
Findings that can be applied in a variety of policy and program contexts would be especially informative.
  Develop and validate key measures. Although our primary focus is on testing the impact of programs and policies on population health, well-being, and equity, a small portfolio of grants is dedicated to the development and validation of new measures and metrics of population health needed to capture the broader view of physical and mental health, well-being, and equity throughout the life course.
Our full grantee portfolio and more detail about research designs and outcome measures are available on our website.",https://anr.rwjf.org/viewCfp.do?cfpId=1447&cfpOverviewId=
SC Johnson U.S. Grant,"Wherever we operate, we want to help make that place better, because we are there. This aspiration began more than a century ago, with our founder, Samuel Curtis Johnson. It's reinforced by our corporate values statement, and acted on by SC Johnson people around the globe.

Since 1937, SC Johnson has given five percent of all pretax profits to charities. The year 2017 marked 80 years of company giving, and nearly six decades of our charitable foundation, SC Johnson Giving, Inc.

Our primary corporate giving focus is on institutions or organizations that serve or directly affect communities where we have operations. Our areas of interest include:

Social: Initiatives that support the prevention and eradication of vector borne diseases; programs that help reduce or eliminate poverty.

Education: Programs that ensure quality and inclusive education through literacy initiatives, early childhood intervention, or programs that focus on Science, Technology, Engineering and Mathematics (STEM).

Environmental & Sustainability: Programs that reduce or eliminate plastic waste, advance and promote recycling, and improve the environment. 

U.S. Product Contributions
Some SC Johnson contributions are the result of grant requests. Others are designed to meet needs identified by the company directly.",https://www.scjohnson.com/en/our-purpose/social-responsibility-news/community-and-economic-development/sc-johnson-grants-how-to-apply-for-a-us-company-donation
Charles and Mildred Schnurmacher Foundation Grant,"Since 1977, The Charles and Mildred Schnurmacher Foundation has focused on charitable giving. Because we value the importance of enhancing and improving the lives of others, the Foundation supports diverse programs in the fields of human services, education, Jewish causes, health, performing arts, scientific research and animal advocacy. While most of the organizations we support are in the United States, some of the programs provide support throughout the world.

We review every request submitted and make our decision after diligent and thoughtful consideration. Most grants awarded are for program development or specific project support as opposed to general operating expenses.

Program funding is done mainly in the New York and southern California areas. We do not make grants or loans to individuals. As philanthropists, we recognize that it is not possible to fund every project.",https://www.charlesandmildred.org/grant-application-process/
Amgen Foundation Grants,"The Amgen Foundation seeks to advance excellence in science education to inspire the next generation of innovators, and invest in strengthening communities where Amgen staff members live and work. The Amgen Foundation carefully considers each grant application it receives, seeking out diverse organizations whose philosophies, objectives and approaches align with the Foundation goals and mission.

The Foundation awards grants to local, regional, and international nonprofit organizations that are replicable, scalable and designed to have a lasting and meaningful effect in our communities. Grants should reflect Amgen's dedication to impacting lives in inspiring and innovative ways. Amgen Foundation grants range from $10,000 to multi-million dollar commitments.

The Amgen Foundation has established grant-making partnerships with qualified intermediary partners to manage donations to organizations chartered outside of the United States.

- Philanthropic Focus

Each year, the Foundation receives hundreds of grant proposals. While it is not possible for every organization to receive funding, those that are in alignment with the Foundation's guidelines and programmatic vision outlined below are given careful consideration. We welcome your ideas.

- Science Education

The Foundation is committed to raising the value of science literacy on a national and local level. The areas given priority consideration within science education are:

+ Teacher quality and professional development in math and science: Comprehensive programs that enhance the quality of math and science teachers entering the classroom, and support teachers with meaningful professional-development opportunities that have a positive impact on student achievement
+ Pivotal hands-on science experience: Support programs that provide students and teachers with opportunities for hands-on, inquiry-based learning experiences that significantly impact students' excitement about science and scientific careers

- Community Life

The Foundation supports programs that align with our overall mission and priority-giving areas in the communities where Amgen has a presence. Currently, the Amgen Foundation makes Community Life grants in and around the following U.S. and Puerto Rico communities:

- Ventura and Los Angeles Counties, CA
- San Francisco Bay Area, CA
- Greater Boston Area, Middlesex and Suffolk Counties, MA
- Juncos, Puerto Rico
- Rhode Island

Our focus is to fund programs that enhance civic engagement by supporting science and education based initiatives, environmental programs, social services, as well as culture and arts in an effort to strengthen and enrich our communities.",http://www.amgen.com/responsibility/grants-and-giving/amgen-foundation-grants/amgen-foundation-grant-guidelines/
Jacob and Hilda Blaustein Foundation Grant - International Human Rights,"Established in 1957 and animated by the Jewish value of tzedakah (obligation to be charitable), the Jacob and Hilda Blaustein Foundation promotes social justice and human rights through six program areas:

Strengthening Public Education seeks to improve outcomes and opportunities for students and the quality of teaching and leadership in the Baltimore City school system
Arts and Culture nurtures a robust cultural scene and ensures that the arts are accessible to children and underserved audiences in the Baltimore region
Health and Mental Health aims to expand access to quality, affordable health and mental health services for low-income residents of Baltimore City and create better health outcomes locally, regionally and nationally by addressing environmental threats to human health
Strengthening Israeli Democracy works to support Israel as a pluralistic society by promoting shared society between Jewish and Arab citizens in the Negev, building the pipeline to higher education and workforce integration for Israel's ethnic minorities, and protecting Israel's environment
Jewish Life focuses on keeping Judaism meaningful and responsive to contemporary concerns through ""repairing the world"", furthering progressive and inclusive approaches to Judaism, and facilitating nuanced discourse among American Jews about Israel
International Human Rights advances women's and reproductive rights, and protects the rights of refugees and asylum seekers in the US and other countries
The Foundation supports organizations that: promote systemic change; involve constituent participation in identifying needs, planning and decision-making; encourage innovation; have clear goals, a process for evaluation and a long-range funding strategy.

International Human Rights

The Foundation's program in International Human Rights reflects the commitment of its founders to the principles of universal rights. As President of the American Jewish Committee from 1949 to 1954, Jacob Blaustein worked to protect the civil and religious rights of Jews and other minorities and to promote intergroup tolerance. He was a lifelong advocate for human rights and helped to promote the idea of the U.N. High Commissioner for Human Rights, a position that was established more than twenty years after his death in 1970.

The Foundation funds a small number of grantees that work to advance international human rights. The Foundation generally supports US based organizations that address international issues, rather than those based abroad. The Foundation rarely provides support for programs or projects that focus on one country or region.

Internationally, the Foundation works in three areas:

Advancing women's and reproductive rights. We do not provide support for domestic programs in this area.
Protecting the rights of refugees and asylum seekers who seek refuge in the United States and other countries.
Supporting cross-cutting programs that advance leadership development, capacity-building and training across issues. The Foundation does not accept unsolicited proposals in this area.
In 1971, the Foundation created and endowed the Jacob Blaustein Institute for the Advancement of Human Rights at the American Jewish Committee. This is an independent entity with its own governance, programmatic priorities and grantmaking program.",https://blaufund.org/proposal-guidelines/
National Theater Project Presentation Grant,"I. Timeline

Rolling deadline: NTP Presentation Grants are awarded on a rolling basis as negotiated between artist and presenter. Tour plans are submitted to NEFA by the project's tour coordinator on a rolling basis. Once a plan update has been submitted, NEFA will send the invitation to apply.

II. Application Process

Contact the tour coordinator listed in the National Theater Project directory. Organizations included in the NTP project's tour plan will be invited to apply for a Presentation Grant.

All organizations are required to provide an IRS W-9 Form (see www.irs.gov for current version) and a DUNS (Dun & Bradstreet) Number in the application.

III. Contact

Quita Sullivan
Program Director, Theater
qsullivan@nefa.org
617-865-1839

Meena Malik
Program Manager, Theater
mmalik@nefa.org
617-865-1842

Derek Schwartz
Program Coordinator, Theater
dschwartz@nefa.org
617-865-1827

NEFA accepts grant applications via an online form. If you require an alternate format or assistance to access the application, please contact:
Jane Preston
Interim Accessibility Coordinator
jpreston@nefa.org
617-865-1835",https://www.nefa.org/grants/find-grant/national-theater-project-presentation-grant
Chatlos Foundation Grants,"Non-profit organizations based in the United States that have been in existence for 2 or more years and are recognized as tax exempt by the IRS may apply for a grant. 

Program support remains a current priority for the Foundation.

On an initial basis, the Foundation tends to fund requests for amounts less than $10,000. 

It is important to note that it is not our intention to become a part of an annual budget. We expect the projects we fund to become independent of The Chatlos Foundation. 

Many organizations are worthy of funding, however, our funding is limited.  Applicants should understand that rejection of the proposal in no way signals rejection of the proposer. 

The large number of requests we receive causes us to decline many proposals which are worthy of attention and funding. 

Contributions cannot be made to organizations which discriminate on the basis of race, color, gender, creed, age, or national origin. 

The Foundation does not make scholarship grants directly to individuals but rather to educational institutions which in turn select recipients.",http://www.chatlos.org/the-application-process/instructions/
Fluor Foundation Grant,"Grants are only made to organizations that are 501(c)(3) non-profit organizations or qualifying non-governmental organizations. An emphasis is placed on programmatic and operating support. Special event and fundraising support is generally not considered. Priority is given to organizations that align to Fluor's strategic focus areas and provide opportunities for employee volunteerism. Fluor's key focus areas are:

Education
Public Health and Critical Human Needs
Economic Development
Environment
Please note: Fluor does not seek and rarely funds unsolicited grant applications and project proposals. Fluor typically chooses to work with community organizations with which we have established or proactively developed relationships.",http://www.fluor.com/sustainability/community/fluor-giving/applying-for-fluor-foundation-grants
The Joseph W. Tripiano Charitable Fund,"Minimum Eligibility Requirements:
  The organization is located in a U.S. state or territory
  Is a 501c3 and has been in existence for at least one full operating year
  The organization keeps accurate and complete financial records

Grant requests should cover your organization's most urgent need. Areas of need can include but are not limited to:
  Equestrian support
  Board/Staff/Volunteer - training/development/strategic planning
  General operating support 

In general, we will not fund the following:
  Organizations that discriminate by age, disability, ethnic origin, gender, race, religion, or sexual orientation
  Fundraising events such as annual campaigns, walk-a-thons, tournaments, fashion shows, dinners, and auctions
  Organizations and programs designed to support political activities
  Pay off existing obligations or enable funding of reserve accounts
  Programs that are completed or nearly completed
  Applications for grant requests that far exceed a reasonable proportion to the applicant's financial scale
  Requests greater than 25% of the proposed project/program budget",https://d2dohd3bs3jx97.cloudfront.net/uploads/CombinedForms.pdf?mtime=20200730202410
William K. Warren Foundation Grant,"To seek funding from The William K. Warren Foundation, please read the guidelines carefully. Our guidelines have been established to help us in the decision-making process.  Due to the great volume of grant requests we receive, we are unable to review requests that do not conform to these guidelines.

GENERAL GUIDELINES
The Foundation follows general guidelines to assure proper and equitable use of the Foundation's funds.  These guidelines are in keeping with its policies and purposes and assure that allocation of such funds is made within the limits of its financial resources while also keeping in mind the wishes of its founders that the Foundation would be ""evergreen"" as opposed to seeking to disperse all of its funds as soon as possible.

Support for certain programs is not to be interpreted as a judgment of the merits of those that do not receive funds.  Rather, it is a reflection of the Foundation's belief that adherence to its guidelines, which are regularly reviewed, leads to the most effective use of its limited resources.

The Foundation is sensitive to changes in community issues and attitudes.  Within the limits of its resources, the Foundation addresses the needs that arise from the emergence of new and different social issues to maintain a balance between innovation and maintenance of ongoing programs.

This statement of policy sets forth the current views of The William K. Warren Foundation with respect to the best use of its assets.  It may be revoked or amended in any respect for any reason, and there can be no assurance that it necessarily represents future policies or activities of the Foundation.",https://www.williamkwarrenfoundation.org/request-a-grant/
Robert Wood Johnson Foundation Pioneering Ideas Brief Proposals,"Introduction
As our current reality underscores, we live in a dynamic world where unforeseen global events; new technologies; scientific discoveries; changes in our climate, economy, demographics; and more continually shape where and how we live, learn, work and play. These changes will profoundly impact health equity in our society, from our individual health and the health of our families to the health of our communities.

What dramatic changes might we see in the next 5 to 15 years? What can we do today to create a better, more equitable tomorrow?   

We seek to answer these questions, anticipate the future, and support unconventional approaches and breakthrough ideas that can help lead the way to a future where everyone in the United States can live their healthiest life possible.

Purpose
Pioneering Ideas: Exploring the Future to Build a Culture of Health seeks proposals that are primed to influence health equity in the future. We are interested in ideas that address any of these four areas of focus: Future of Evidence; Future of Social Interaction; Future of Food; Future of Work. Additionally, we welcome ideas that might fall outside of these four focus areas, but which offer unique approaches to advancing health equity and our progress toward a Culture of Health.

We want to hear from scientists, anthropologists, artists, urban planners, community leaders anyone, anywhere who has a new or unconventional idea that could alter the trajectory of health, and improve health equity and well-being for generations to come. The changes we seek require diverse perspectives and cannot be accomplished by any one person, organization or sector. 

Please note: While this call for proposals is focused on broader and longer-term societal trends and shifts that were evolving prior to the COVID-19 outbreak, we recognize the unique circumstances and learning created by the COVID-19 pandemic may inform your response. It is at your discretion whether you propose a project related to the pandemic directly or indirectly.",https://anr.rwjf.org/viewCfp.do?cfpId=1500&cfpOverviewId=
Charles H. Revson Foundation Education Grant,"I. Timeline

Phase I: Revson evaluates letters of inquiry as they are submitted throughout the year.
Phase II: Full proposals are accepted by invitation only. If you have been invited to apply for a grant, please download our proposal submission guidelines.

II. Application Process

LETTERS OF INQUIRY
The Revson Foundation welcomes letters of inquiry from prospective grantees. Please send an e-mail with a very brief description of your project, including the following information:
 - Organization Name
 - Name of Contact
 - E-mail
 - Phone Number
 - Mailing Address
 - Project Title
 - Project Budget
 - Amount Sought
 - Description of Project

Please do not include any attachments.

We are unable to accept inquiries through the mail or by phone.

We read all e-mail promptly. If your proposal seems appropriate for follow up, we will contact you within two weeks. We regret that, given the volume of inquiries, we are unable to respond to each letter individually.

Please note that we currently do not fund:
 - Individuals
 - Film projects
 - Book projects
 - Endowments
 - Capital or building campaigns
 - Fundraising dinner events
 - National or local health appeals
 - Projects located outside of the United States or Israel
 - Research grants or scholarships for individuals (except within our fellowships programs)
 - Biomedical research projects (except within our fellowships programs)

For more information, please see the FAQs for grant seekers.

III. Contact

THE CHARLES H. REVSON FOUNDATION
55 East 59th Street, 23rd Floor
New York, NY 10022
(212) 935-3340 | info@revsonfoundation.org",http://revsonfoundation.org/grantseeker/loi/
Hearst Foundations - Educational Fund,"The Hearst Foundations support well-established nonprofit organizations that address significant issues within their major areas of interests - culture, education, health and social service - and that primarily serve large demographic and/or geographic constituencies. In each area of funding, the Foundations seek to identify those organizations achieving truly differentiated results relative to other organizations making similar efforts for similar populations. The Foundations also look for evidence of sustainability beyond their support.

The Hearst Foundations fund educational institutions demonstrating uncommon success in preparing students to thrive in a global society. The Foundations' focus is largely on higher education, but they also fund innovative models of early childhood and K-12 education, as well as professional development.

TYPES OF SUPPORT:
Program, scholarship, capital and, on a limited basis, general and endowment support",https://www.hearstfdn.org/wp-content/uploads/2019/03/Instructions-for-Portal-2019.pdf
American-Scandinavian Foundation Public Project Grants,"Awards are given to non-profit organizations only. Proof of an organization's non-profit status (as a 501(c)(3) in the United States or equivalent in Scandinavia) is required.

ASF does not support:

- Capital expenses.
- Institutional overhead and other administrative fees.
- Underwriting book, periodical or website publication.
- Production of commercial CDs or cassettes.
- Conference participation or conference registration for individuals. However, general conference expenses such as costs for special invitees/speakers can be supported.
- Participation in studio residencies other than those with which ASF already has an ongoing affiliation.
- Retroactive funding. Projects cannot begin before the decision announcement date.",http://www.amscan.org/fellowships-and-grants/public-project-proposal-guidelines/
James M.Cox Foundation Grant,"If you are interested in being considered for a grant, please review the following guidelines for funding requests:

Eligibility Requirements
- Organizations must be federally tax-exempt under Section 501(c)(3) of the IRS Code with non-private foundation status or an equivalent government entity under section 170 (c)(1).
- Organizations must be located in the United States and in an area where Cox Enterprises or one of its subsidiaries does business. For a complete list of Cox businesses and information on specific locations, view the location map.
- Organizations located outside of metropolitan Atlanta, Georgia, must have a letter of endorsement from the Regional Manager or equivalent leader at the local Cox business to submit with the application. For additional information about letters of endorsement, please see below under ""limitations.""  

Limitations
- Letters of endorsement for organizations wishing to apply are provided at the local or regional Cox management team's discretion based upon alignment with local priorities. Preference is given to organizations that have a history of engagement with the local business and its employees.
- Only one request will be considered per organization during a 12-month period. For example, if a request is submitted in March, whether it is approved or declined, another request will not be considered until the following March. Awards for basic operating expenses and support for annual programs usually are not granted.
- We do not provide loans to organizations or individuals. Grants are not provided for the following:
+ Scholarships for individual students or nonprofit organizations for the purpose of granting scholarships benefitting an individual;
+ Annual operating purposes (includes expenses for salaries, overhead, or other recurring program or administrative costs);
+ Seed money, or as the only funding source of an organization;
+ Endowment funds;
+ Conferences and seminars;
+ Fundraising events or sponsorships (dinners, golf tournaments, walks/runs, benefits, raffles, tickets, tables, etc.);
+ Organizations whose primary purpose is to influence legislation;
+ Political causes, candidates, organizations or campaigns;
+ Religious organizations for general operating support, sanctuary construction/renovation or mission-focused work. However, we do consider requests from religious organizations with 501(c)(3) status to provide project-specific social services outreach programs that are not limited to a specific religious affiliation; or
+ Organizations or programs that discriminate on the basis of race, color, sex, sexual orientation, age, religion, national or ethnic origin, or physical disability.",https://www.coxenterprises.com/corporate-responsibility/james-m-cox-foundation/application-process
Marion Gardner Jackson Charitable Trust - Capital Grants,"I. Timeline

Proposal due	August 31

II. Application Process

The Illinois office currently manages a number of separate discretionary foundations, each with its own mission statement and funding parameters. The first step in our streamlined application process is to select a foundation toward which to apply. This step requires you to determine if there is a match between your organization's work and the funding parameters of the selected foundation.

Before You Apply
We recommend that you thoroughly research the information provided at www.bankofamerica.com/grantmaking. The website provides detailed information about each foundation, and the Find a Foundation search feature may assist you further in selecting the various foundations. Specifically, we recommend that you thoroughly read the foundation detail pages, which are 1-page summaries on each foundation, and the Frequently Asked Questions (FAQ) tab which provides helpful overview information.
After exploring our website, you should be able to determine:
1. An appropriate foundation by entering the Area Served and/or Program Type preference(s) in the search filter.
2. If your organization in fact meets the geographic and/or programmatic parameters of the specific foundation. Please refer to Section IV for brief details about the geographic focus area(s) and proposal due dates of each foundation.
3. The proposal deadline of the specific foundation, ensuring that your complete proposal is submitted at the appropriate time of the year.

Submitting an Application
Please note: All of the Illinois foundations, with the exception of the Elizabeth Morse Genius Charitable Trust, have moved to an online grant application process.
Please review the foundation detail pages at www.bankofamerica.com/grantmaking. On each foundation's detail page you will find the mission, guidelines, regional procedures, the online application help document and the 'Apply now' link.
Please submit online applications by 11:59 p.m. on the day of the foundation's deadline date. If the application deadline date falls on a weekend or a federally recognized holiday, we do not extend the deadline, therefore applications must be submitted on the prior business day by 11:59 p.m.
Online grant applications will be accepted 24-hours a day, 7 days a week, generally on, or prior to the proposal due date. However, applicant inquiries can only be answered during normal business hours, Monday through Friday, 9 a.m. - 5 p.m. EST. Please be advised that technical support is not provided on weekends for password resets or general technical inquiries. Therefore it is best to start your application early, seek technical support during business hours, and to submit your application in advance of the due date.
The Elizabeth Morse Genius Charitable Trust has a two-step process for applying for a grant beginning with a Letter of Inquiry. As noted above, this trust does not have an online application process. Visit http://www.emgeniustrust.org/imglib/GrantApplicationGuidelines.pdf for more details.

Pease Note:
1. Only 1 application may be submitted, per organization, per calendar year, to any one of the 5
discretionary foundations noted below. For instance, if you submit a proposal to Carl R.
Hendrickson Family Foundation, you are not eligible to submit another application to any of the other foundations listed below until the start of the following calendar year.
Alfred Bersted Foundation Grace Bersted Foundation Henrietta Lange Burk Fund Carl R. Hendrickson Family Foundation Colonel Stanley McNeil Foundation
2. There are exceptions to this rule, however. You may submit an application to any one of the foundations listed below, even if an application has been submitted within the same year to one of the
5 foundations listed above.
G. A. Ackermann Memorial Fund Harry S. Black & Allon Fuller Fund Dr. Ralph and Marian Falk Medical Research Trust Marion Gardner Jackson Charitable Trust Elizabeth Morse Genius Charitable Trust Edward N. & Della L. Thome Memorial Foundation A. Montgomery Ward Foundation Herbert A. and Adrian W. Woods Foundation
3. If a foundation noted above has bi-annual deadlines within a calendar year, you must select one of the two deadlines and should not apply to both.
4. If your organization receives a grant award from any of the 13 foundations noted above, you are ineligible to re-apply again until the start of the following year, after the end of your grant period.

III. Contact

Please contact: ilgrantmaking@bankofamerica.com",https://www.bankofamerica.com/content/documents/philanthropic/IL_Procedures.pdf
Watson-Brown Foundation Grants,"Generally, the Watson-Brown Foundation does not consider grants to organizations other than public charities, those organizations that are defined in Internal Revenue Code Sections 501(c)(3) and 509(a)(1), 509(a)(2) or 509(a)(3). The Foundation does not consider grants to individuals (except for scholarships awarded through the Foundations internal scholarship program). The Foundation does not fund religious programs, or political or lobbying activities. It does not issue grants for debt reduction. It will not support advertising or marketing efforts. Rarely will the Foundation support social events such as sports tournaments or galas. The Foundation does not usually consider funding individual projects for more than one year. Generally, the Foundation supports only organizations, institutions or programs located in the southeastern region of the United States.

Typical recipients include colleges and universities, scholarly societies, and other public charities that collect or advance knowledge of our region.",http://www.watson-brown.org/grants/guidelines/
Mathile Family Foundation Grant,"COMMITMENT TO EDUCATION

Many of Daytons young students are motivated to learn and succeed. However, a growing number lack access to educational opportunities that will help them to fulfill their potential.
At the Mathile Family Foundation, we believe that the greatest social and economic equalizer is education. So, the support of quality educational opportunities for our areas at-risk children has grown even more important for more than 25 years of service. With this in mind, the Mathile Family Foundation has established a goal to increase the number of low-income post-secondary graduates from our most-vulnerable neighborhoods. Naturally, providing tuition assistance and scholarships to increase college access and success is an integral part of our strategic equation.

Throughout our history, The Foundations support of PreK  12 education has had a focus on Catholic schools in the Dayton area. In addition to high academic expectations, we believe Catholic schools develop the solid moral and community values that prepare students to be lifelong models of strong character and compassion.

Our support of these important institutions touches many different aspects of the school community and includes an evidence based student support program called City Connects which was developed by Boston College; a leadership program for Catholic school administrators focused on professional management; and an elementary-high school alliance which not only strengthens the schools  but addresses many of the challenges students face transitioning into high school.",https://mathilefamilyfoundation.org/guidelines/
John Randolph and Dora Haynes Foundation - Archival grants,"THE FOUNDATION
Established in 1926 by a prominent, reform-minded physician and his suffragist wife, the John Randolph Haynes and Dora Haynes Foundation is a leading supporter of social science research for Los Angeles. It is also the oldest private foundation in the city.

Each year, the Foundation spends up to $3 million in distributing grants and scholarships to various public and private institutions, most of them local. These funds, in turn, are used to encourage study and research into the underlying causes of social problems in Los Angeles and to recommend ways of addressing them.

Over the years, the Foundation has funded hundreds of important urban studies in the areas of education, transportation, local government, elections, public safety, demographics, public personal services and natural resources. In doing so, the Foundation has remained true to its founder's philosophy of promoting ""the social betterment of mankind.""

A limited number of grants in support of archival and cataloging projects are available for libraries and other institutions that preserve historic Los Angeles materials.",http://haynesfoundation.org/howtoapply/index.asp
The Sundt Foundation,"The Sundt Foundation 
The Sundt Foundation is focused on the needs of disadvantaged children and adults. To date, the Foundation has provided more than $2.5 million in aid to community organizations in Arizona, California and Texas.
www.sundt.com/sundt-foundation",http://www.sundt.com/sundt-foundation
Thelma Braun & Bocklett Family Foundation,"Thelma Braun & Bocklett Family Foundation 
The Thelma Braun & Bocklett Family Foundation was established in 1980 to support and promote quality education, cultural, human services, and health care programming for underserved populations. Special consideration is given to charitable organizations that serve the people of Grayson County, Texas, especially in the area of arts and education. Areas of funding interest include Arts, Culture, & Humanities; Education; Health; Human Services.
www.bankofamerica.com/philanthropic...",http://www.bankofamerica.com/philanthropic/foundation.action?fnId=85
"Toyota U.S.A Foundation - AL, CA, IN, KY, MI, NY, TX, WV","Toyota U.S.A Foundation - AL, CA, IN, KY, MI, NY, TX, WV 
Education is the focus of the Toyota U.S.A Foundation. In addition to funding national programs, Toyota supports the social well–being of communities where it has major operations (Alabama, California, Indiana, Kentucky, Michigan, New York, Texas and West Virginia). This includes assistance for Arts & Culture and Civic & Community Development, Health & Human Services.
www.toyota.com/about/philanthropy/e...",http://www.toyota.com/about/philanthropy/education/toyota_usa/
"Union Bank Foundation  - CA, OR, WA, TX","Union Bank Foundation - CA, OR, WA, TX 
The Union Bank Foundation, a nonprofit public benefit corporation, serves as an agent for charitable contributions made by Union Bank. Established in 1953, the Foundation has, throughout its history, supported the bank's commitment to help meet the needs of the communities it serves. We believe that the Union Bank Foundation can achieve the greatest impact on the health of communities by targeting the following strategic funding categories: Affordable...
www.unionbank.com/company_informati...",http://www.unionbank.com/company_information/company_information/corporate_social_responsibility/charitable_contributions/foundation_grants/index.jsp
